dataset,model,model_group,prompt_mode,status,evaluation_type,mIoU,boundary_f1,mask_AP,mask_AP50,mask_AP75,quality_metrics_file
isaac_official_unitree_g1,sam2_hiera_large,heavy_sam,point,ok,zero_shot,0.5951802368075687,0.6746888059517623,0.5643031303045325,0.7141287331904884,0.5845032765289965,outputs/task6_evaluation/zero_shot/isaac_official_unitree_g1/sam2_hiera_large/point_metrics.json
isaac_official_unitree_g1,sam2_hiera_large,heavy_sam,box,ok,zero_shot,0.7136975551514932,0.8231087158810155,0.6295658291065114,0.8337564136917861,0.6447486274555452,outputs/task6_evaluation/zero_shot/isaac_official_unitree_g1/sam2_hiera_large/box_metrics.json
isaac_official_unitree_g1,sam2_hiera_large,heavy_sam,automatic,ok,zero_shot,0.38112333984406294,0.4204189834068216,0.2396245809317467,0.276211647437008,0.24733558045194587,outputs/task6_evaluation/zero_shot/isaac_official_unitree_g1/sam2_hiera_large/automatic_metrics.json
isaac_official_unitree_g1,fastsam_x,heavy_sam,point,ok,zero_shot,0.38288829714869455,0.445553878945566,0.20728682776590868,0.3088710653346868,0.20819569615164638,outputs/task6_evaluation/zero_shot/isaac_official_unitree_g1/fastsam_x/point_metrics.json
isaac_official_unitree_g1,fastsam_x,heavy_sam,box,ok,zero_shot,0.4839182573045611,0.5715445843335835,0.3403384715476681,0.46047744157137294,0.3709688448139046,outputs/task6_evaluation/zero_shot/isaac_official_unitree_g1/fastsam_x/box_metrics.json
isaac_official_unitree_g1,fastsam_x,heavy_sam,automatic,ok,zero_shot,0.523164727480969,0.5998681645305536,0.2563159336355923,0.38777976190653857,0.27420589173522836,outputs/task6_evaluation/zero_shot/isaac_official_unitree_g1/fastsam_x/automatic_metrics.json
blenderproc_cogar_sim,sam_vit_h,heavy_sam,point,ok,zero_shot,0.8041563802744292,0.7934316161517831,0.6488879555992233,0.8356090555383239,0.6433865170342044,outputs/task6_evaluation/zero_shot/blenderproc_cogar_sim/sam_vit_h/point_metrics.json
blenderproc_cogar_sim,sam_vit_h,heavy_sam,box,ok,zero_shot,0.9226009719268821,0.9053142995607248,0.8679466984608216,0.966874439172164,0.9055139576310633,outputs/task6_evaluation/zero_shot/blenderproc_cogar_sim/sam_vit_h/box_metrics.json
blenderproc_cogar_sim,sam_vit_h,heavy_sam,automatic,ok,zero_shot,0.8780589809430633,0.8545704717526055,0.5811973987705658,0.6793105314210933,0.5871680399731383,outputs/task6_evaluation/zero_shot/blenderproc_cogar_sim/sam_vit_h/automatic_metrics.json
blenderproc_cogar_sim,sam_vit_b,heavy_sam,point,ok,zero_shot,0.7882136480852923,0.7683178722276102,0.6345668023258466,0.8341329744363202,0.6337114838393647,outputs/task6_evaluation/zero_shot/blenderproc_cogar_sim/sam_vit_b/point_metrics.json
blenderproc_cogar_sim,sam_vit_b,heavy_sam,box,ok,zero_shot,0.9043447232020829,0.8746835287336302,0.8165000009842953,0.9509921816532116,0.8510267979716495,outputs/task6_evaluation/zero_shot/blenderproc_cogar_sim/sam_vit_b/box_metrics.json
blenderproc_cogar_sim,sam_vit_b,heavy_sam,automatic,ok,zero_shot,0.8150274378259081,0.793094070548309,0.49843887353029354,0.591415569627724,0.5014765178963158,outputs/task6_evaluation/zero_shot/blenderproc_cogar_sim/sam_vit_b/automatic_metrics.json
blenderproc_cogar_sim,sam2_hiera_large,heavy_sam,point,ok,zero_shot,0.827318364394468,0.822151141728766,0.7510721480435437,0.8899820149974988,0.7776358345412229,outputs/task6_evaluation/zero_shot/blenderproc_cogar_sim/sam2_hiera_large/point_metrics.json
blenderproc_cogar_sim,sam2_hiera_large,heavy_sam,box,ok,zero_shot,0.9190885368051233,0.8898332758362066,0.864104893122799,0.9731603229469638,0.916796863674941,outputs/task6_evaluation/zero_shot/blenderproc_cogar_sim/sam2_hiera_large/box_metrics.json
blenderproc_cogar_sim,sam2_hiera_large,heavy_sam,automatic,ok,zero_shot,0.8018799442904379,0.79348218977422,0.5754954930922115,0.6535906852307507,0.588502531527928,outputs/task6_evaluation/zero_shot/blenderproc_cogar_sim/sam2_hiera_large/automatic_metrics.json
blenderproc_cogar_sim,fastsam_x,heavy_sam,point,ok,zero_shot,0.32534516800914215,0.32512191842284094,0.08288624400864802,0.12371092308070558,0.08322212584953197,outputs/task6_evaluation/zero_shot/blenderproc_cogar_sim/fastsam_x/point_metrics.json
blenderproc_cogar_sim,fastsam_x,heavy_sam,box,ok,zero_shot,0.7481621436264929,0.7734238949714399,0.5319313001881917,0.6803482949320553,0.5537881870934604,outputs/task6_evaluation/zero_shot/blenderproc_cogar_sim/fastsam_x/box_metrics.json
blenderproc_cogar_sim,fastsam_x,heavy_sam,automatic,ok,zero_shot,0.7988317178132487,0.8098347464377988,0.36056264847048786,0.47907528778360176,0.38469113741623284,outputs/task6_evaluation/zero_shot/blenderproc_cogar_sim/fastsam_x/automatic_metrics.json
ocid,sam_vit_h,heavy_sam,point,ok,zero_shot,0.6646683849177094,0.6318061573507465,0.4618769361482581,0.6412291263155173,0.5674289579232772,outputs/task6_evaluation/zero_shot/ocid/sam_vit_h/point_metrics.json
ocid,sam_vit_h,heavy_sam,box,ok,zero_shot,0.8452409639470332,0.7754535484397148,0.7329317485857256,0.9593915686710908,0.8674249104305994,outputs/task6_evaluation/zero_shot/ocid/sam_vit_h/box_metrics.json
ocid,sam_vit_h,heavy_sam,automatic,ok,zero_shot,0.8382905606713064,0.7762349661080024,0.3961026495928901,0.5348531452549238,0.4808314326635168,outputs/task6_evaluation/zero_shot/ocid/sam_vit_h/automatic_metrics.json
ocid,sam_vit_b,heavy_sam,point,ok,zero_shot,0.6160080035250245,0.5710157578748937,0.3927799430641681,0.5917572418463385,0.47237652275732167,outputs/task6_evaluation/zero_shot/ocid/sam_vit_b/point_metrics.json
ocid,sam_vit_b,heavy_sam,box,ok,zero_shot,0.8339219829882085,0.7514250642879597,0.7141484734574121,0.9489438937931162,0.8592984468723077,outputs/task6_evaluation/zero_shot/ocid/sam_vit_b/box_metrics.json
ocid,sam_vit_b,heavy_sam,automatic,ok,zero_shot,0.7305978965807334,0.6764823544850559,0.24102160492036337,0.33437821603507617,0.29975448845638397,outputs/task6_evaluation/zero_shot/ocid/sam_vit_b/automatic_metrics.json
ocid,sam2_hiera_large,heavy_sam,point,ok,zero_shot,0.7585420059070903,0.737490971945824,0.612397057775292,0.7895222393615046,0.7301382470461102,outputs/task6_evaluation/zero_shot/ocid/sam2_hiera_large/point_metrics.json
ocid,sam2_hiera_large,heavy_sam,box,ok,zero_shot,0.8659770273605177,0.7872642061143948,0.7756979963789858,0.9694568004367208,0.9049055174932888,outputs/task6_evaluation/zero_shot/ocid/sam2_hiera_large/box_metrics.json
ocid,sam2_hiera_large,heavy_sam,automatic,ok,zero_shot,0.7938377895836044,0.7483256512304591,0.45985307308277434,0.5874032756466505,0.55882790539536,outputs/task6_evaluation/zero_shot/ocid/sam2_hiera_large/automatic_metrics.json
ocid,fastsam_x,heavy_sam,point,ok,zero_shot,0.4848588969528927,0.4591698757723701,0.20296410767763065,0.30591702581846897,0.23260385149886995,outputs/task6_evaluation/zero_shot/ocid/fastsam_x/point_metrics.json
ocid,fastsam_x,heavy_sam,box,ok,zero_shot,0.7643104971739735,0.7373700285300642,0.5378681346795664,0.7520132504968448,0.6375061510444352,outputs/task6_evaluation/zero_shot/ocid/fastsam_x/box_metrics.json
ocid,fastsam_x,heavy_sam,automatic,ok,zero_shot,0.7982308704892809,0.7489893482313883,0.15604622409888733,0.2184885382183562,0.18361158130776145,outputs/task6_evaluation/zero_shot/ocid/fastsam_x/automatic_metrics.json
isaac_official_unitree_g1,yolo8_seg,baseline,inference,ok,instance_segmentation,0.5395833657336907,0.6041984705850798,0.3313627295095101,0.48968900763879897,0.35104801278886016,outputs/task6_evaluation/baselines/yolo8_seg/isaac_official_unitree_g1_metrics.json
blenderproc_cogar_sim,yolo8_seg,baseline,inference,ok,instance_segmentation,0.8611940808512567,0.8143763235304756,0.6426217107948822,0.8134320382094417,0.6905199651940719,outputs/task6_evaluation/baselines/yolo8_seg/blenderproc_cogar_sim_metrics.json
ocid,yolo8_seg,baseline,inference,ok,instance_segmentation,0.8475484078632534,0.7841866739947979,0.6605893027397538,0.935115879777684,0.7557109286915273,outputs/task6_evaluation/baselines/yolo8_seg/ocid_metrics.json
isaac_official_unitree_g1,mask_rcnn,baseline,inference,ok,instance_segmentation,0.5643601089104575,0.6199106425200137,0.3818439466456059,0.5529405053059628,0.4042400726378671,outputs/task6_evaluation/baselines/mask_rcnn/isaac_official_unitree_g1_metrics.json
blenderproc_cogar_sim,mask_rcnn,baseline,inference,ok,instance_segmentation,0.7895191007664695,0.6443972972871164,0.5740391159591088,0.7585945721731661,0.6332997060332645,outputs/task6_evaluation/baselines/mask_rcnn/blenderproc_cogar_sim_metrics.json
ocid,mask_rcnn,baseline,inference,ok,instance_segmentation,0.8123703626805883,0.7343935367651694,0.6619717416807416,0.8874887707244264,0.7420527909917737,outputs/task6_evaluation/baselines/mask_rcnn/ocid_metrics.json
isaac_official_unitree_g1,deeplabv3plus,baseline,inference,ok,semantic_segmentation,0.6604725763556952,0.6642246344275081,,,,outputs/task6_evaluation/baselines/deeplabv3plus/isaac_official_unitree_g1_metrics.json
blenderproc_cogar_sim,deeplabv3plus,baseline,inference,ok,semantic_segmentation,0.719802264279518,0.6803827488914189,,,,outputs/task6_evaluation/baselines/deeplabv3plus/blenderproc_cogar_sim_metrics.json
ocid,deeplabv3plus,baseline,inference,ok,semantic_segmentation,0.9632376367955024,0.8801406183427867,,,,outputs/task6_evaluation/baselines/deeplabv3plus/ocid_metrics.json
