run_type,dataset,model,prompt_mode,challenge_group,categories,weighted_iou,mean_iou,mean_boundary_f1,category_count,instance_count
zero_shot,blenderproc_cogar_sim,fastsam_x,point,transparent_reflective_surfaces,"glass_object, metal_part",0.3166800710412628,0.32855074896873754,0.3418334137775144,2,1503
zero_shot,isaac_official_unitree_g1,sam_vit_h,point,robot_and_occlusion,"moving_object, occluder, robot",0.3239057070281186,0.6709125570101384,0.723406521215923,3,23007
zero_shot,blenderproc_cogar_sim,fastsam_x,point,other,plastic_object,0.32734122539137,0.32734122539137,0.34633223874548713,1,995
zero_shot,isaac_official_unitree_g1,sam2_hiera_large,point,robot_and_occlusion,"moving_object, occluder, robot",0.3344258900434936,0.682165477107436,0.7359202443134519,3,23007
baseline,isaac_official_unitree_g1,yolo8_seg,inference,small_parts_thin_structures,"cable, connector, rubber_part, screw, sensor_module, tool",0.33898687433509367,0.26149668158038897,0.34817199500136936,6,1026
baseline,isaac_official_unitree_g1,deeplabv3plus,inference,small_parts_thin_structures,"cable, connector, rubber_part, screw, sensor_module, tool",0.3443427976961644,0.3443427976961644,0.4297360649055209,6,0
zero_shot,isaac_official_unitree_g1,fastsam_x,point,small_parts_thin_structures,"cable, connector, rubber_part, screw, sensor_module, tool",0.36487570308745537,0.3849974879066253,0.5018506199474638,6,22014
zero_shot,isaac_official_unitree_g1,sam_vit_h,automatic,small_parts_thin_structures,"cable, connector, rubber_part, screw, sensor_module, tool",0.37615013889215143,0.4193931644121986,0.5074365175063362,6,22014
zero_shot,isaac_official_unitree_g1,sam_vit_b,point,robot_and_occlusion,"moving_object, occluder, robot",0.37922934809507586,0.6941613715088231,0.7526001909978642,3,23007
baseline,isaac_official_unitree_g1,mask_rcnn,inference,small_parts_thin_structures,"cable, connector, rubber_part, screw, sensor_module, tool",0.4311801298968299,0.4329668987933794,0.531155224851298,6,1026
baseline,isaac_official_unitree_g1,yolo8_seg,inference,robot_and_occlusion,"moving_object, occluder, robot",0.4712851562900251,0.6910998840045476,0.746750985098886,3,1157
zero_shot,ocid,fastsam_x,point,other,object,0.4848588969528927,0.4848588969528927,0.4591698757723701,1,21487
zero_shot,isaac_official_unitree_g1,fastsam_x,box,small_parts_thin_structures,"cable, connector, rubber_part, screw, sensor_module, tool",0.4922640330694076,0.517481661340659,0.6604188023107117,6,22014
baseline,isaac_official_unitree_g1,mask_rcnn,inference,robot_and_occlusion,"moving_object, occluder, robot",0.49441951864671996,0.6915561716546467,0.7565532032220464,3,1157
baseline,blenderproc_cogar_sim,deeplabv3plus,inference,small_parts_thin_structures,"cable, connector, screw, tool",0.49576638122615707,0.49576638122615707,0.33593459462275693,4,0
zero_shot,isaac_official_unitree_g1,fastsam_x,automatic,small_parts_thin_structures,"cable, connector, rubber_part, screw, sensor_module, tool",0.5094632256403941,0.5379607221327128,0.6812125268647712,6,22014
zero_shot,blenderproc_cogar_sim,fastsam_x,point,scene_support_and_background,"box, table",0.510354154057566,0.468210887375922,0.40636841584341094,2,2269
zero_shot,isaac_official_unitree_g1,sam2_hiera_large,automatic,transparent_reflective_surfaces,"metal_part, transparent_glass",0.5157180731393283,0.5307880154982696,0.5932760913489096,2,9991
zero_shot,isaac_official_unitree_g1,sam_vit_b,automatic,transparent_reflective_surfaces,"metal_part, transparent_glass",0.5189100390335377,0.5362107267388726,0.594152737830066,2,9991
zero_shot,isaac_official_unitree_g1,fastsam_x,point,transparent_reflective_surfaces,"metal_part, transparent_glass",0.5361485466256998,0.5464238535656798,0.6178494691969221,2,9991
zero_shot,isaac_official_unitree_g1,sam2_hiera_large,box,robot_and_occlusion,"moving_object, occluder, robot",0.5590249632595411,0.7813641432810209,0.8592702222889939,3,23007
zero_shot,isaac_official_unitree_g1,fastsam_x,point,scene_support_and_background,"background_fixture, storage_bin, workbench",0.5905339910399924,0.5866486981343529,0.5742833145658061,3,17683
baseline,isaac_official_unitree_g1,mask_rcnn,inference,transparent_reflective_surfaces,"metal_part, transparent_glass",0.5975517050525475,0.6073621508979866,0.6252545868187166,2,549
baseline,isaac_official_unitree_g1,yolo8_seg,inference,transparent_reflective_surfaces,"metal_part, transparent_glass",0.5988409741951742,0.6125020353966335,0.6151719129111526,2,549
zero_shot,isaac_official_unitree_g1,sam_vit_b,box,robot_and_occlusion,"moving_object, occluder, robot",0.6141032413659137,0.8044838655434319,0.898105863119628,3,23007
zero_shot,ocid,sam_vit_b,point,other,object,0.6160080035250245,0.6160080035250245,0.5710157578748937,1,21487
zero_shot,isaac_official_unitree_g1,sam_vit_h,box,robot_and_occlusion,"moving_object, occluder, robot",0.6165098150884978,0.8095405383175911,0.9025536504430299,3,23007
zero_shot,blenderproc_cogar_sim,fastsam_x,box,robot_and_occlusion,robot_gripper,0.6411921433740151,0.6411921433740151,0.6795359229430107,1,1633
zero_shot,isaac_official_unitree_g1,fastsam_x,box,scene_support_and_background,"background_fixture, storage_bin, workbench",0.6499332459914041,0.6012506899954672,0.6177697656340416,3,17683
