dataset,model,prompt_mode,device,fps,latency_mean_ms,mIoU,mask_AP,run_type
ocid,yolo8_seg,inference,cuda,37.51723006944581,26.654419799888274,0.8475484078632534,0.6605893027397538,baseline
ocid,mask_rcnn,inference,cuda,13.969892694681674,71.5825111799677,0.8123703626805883,0.6619717416807416,baseline
ocid,deeplabv3plus,inference,cuda,37.81116069858924,26.447217740060296,0.9632376367955024,,baseline
isaac_official_unitree_g1,sam_vit_h,point,cpu,0.03080780648542937,32459.305418999975,0.5738850866510774,0.533635982248893,zero_shot
isaac_official_unitree_g1,sam_vit_h,box,cpu,0.030973905616088544,32285.24075699958,0.7520193025677744,0.6778063539430256,zero_shot
isaac_official_unitree_g1,sam_vit_h,automatic,cpu,0.005322891570692605,187867.81333399995,0.48622915281592644,0.2764753068593684,zero_shot
isaac_official_unitree_g1,sam_vit_b,point,cpu,0.118580746963361,8433.072194333363,0.602380797003478,0.546541253183804,zero_shot
isaac_official_unitree_g1,sam_vit_b,box,cpu,0.11916100645742007,8392.006997333738,0.7420632008595545,0.6478484391050595,zero_shot
isaac_official_unitree_g1,sam_vit_b,automatic,cpu,0.009003150144084059,111072.23405100012,0.38878916651290735,0.23180374016092023,zero_shot
isaac_official_unitree_g1,sam2_hiera_large,point,cpu,0.11006741609167024,9085.340925666364,0.5951802368075687,0.5643031303045325,zero_shot
isaac_official_unitree_g1,sam2_hiera_large,box,cpu,0.11084238335899879,9021.819719999863,0.7136975551514932,0.6295658291065114,zero_shot
isaac_official_unitree_g1,sam2_hiera_large,automatic,cpu,0.009693939220978219,103157.23847700065,0.38112333984406294,0.2396245809317467,zero_shot
isaac_official_unitree_g1,fastsam_x,point,cpu,0.2820696644131638,3545.223489666872,0.38288829714869455,0.20728682776590868,zero_shot
isaac_official_unitree_g1,fastsam_x,box,cpu,0.2859617151504817,3496.9716119997734,0.4839182573045611,0.3403384715476681,zero_shot
isaac_official_unitree_g1,fastsam_x,automatic,cpu,0.275410694541467,3630.9410630001366,0.523164727480969,0.2563159336355923,zero_shot
isaac_official_unitree_g1,yolo8_seg,inference,cpu,0.4872775934595222,2052.218311333187,0.5395833657336907,0.3313627295095101,baseline
isaac_official_unitree_g1,mask_rcnn,inference,cpu,0.4084519248944613,2448.2685453334248,0.5643601089104575,0.3818439466456059,baseline
isaac_official_unitree_g1,deeplabv3plus,inference,cpu,1.8897366244582843,529.1742706667719,0.6604725763556952,,baseline
blenderproc_cogar_sim,sam_vit_h,point,cpu,0.023509040212789,42536.82800100008,0.8041563802744292,0.6488879555992233,zero_shot
blenderproc_cogar_sim,sam_vit_h,box,cpu,0.023477455210965305,42594.05421133306,0.9226009719268821,0.8679466984608216,zero_shot
blenderproc_cogar_sim,sam_vit_h,automatic,cpu,0.0047851231199697005,208981.03871700005,0.8780589809430633,0.5811973987705658,zero_shot
blenderproc_cogar_sim,sam_vit_b,point,cpu,0.08950513993490415,11172.542724666831,0.7882136480852923,0.6345668023258466,zero_shot
blenderproc_cogar_sim,sam_vit_b,box,cpu,0.08970948637909806,11147.093137666161,0.9043447232020829,0.8165000009842953,zero_shot
blenderproc_cogar_sim,sam_vit_b,automatic,cpu,0.007320103185399566,136610.09615200054,0.8150274378259081,0.49843887353029354,zero_shot
blenderproc_cogar_sim,sam2_hiera_large,point,cpu,0.08783757305048537,11384.649703666582,0.827318364394468,0.7510721480435437,zero_shot
blenderproc_cogar_sim,sam2_hiera_large,box,cpu,0.08730706427120834,11453.826885000126,0.9190885368051233,0.864104893122799,zero_shot
blenderproc_cogar_sim,sam2_hiera_large,automatic,cpu,0.007508885678688806,133175.55264400016,0.8018799442904379,0.5754954930922115,zero_shot
blenderproc_cogar_sim,fastsam_x,point,cpu,0.25143748770839375,3977.1316883334293,0.32534516800914215,0.08288624400864802,zero_shot
blenderproc_cogar_sim,fastsam_x,box,cpu,0.2525694707426634,3959.306708999975,0.7481621436264929,0.5319313001881917,zero_shot
blenderproc_cogar_sim,fastsam_x,automatic,cpu,0.2519752437628711,3968.6438440003258,0.7988317178132487,0.36056264847048786,zero_shot
blenderproc_cogar_sim,yolo8_seg,inference,cpu,1.30635894409809,765.4863959999906,0.8611940808512567,0.6426217107948822,baseline
blenderproc_cogar_sim,mask_rcnn,inference,cpu,0.5112331035348305,1956.0548663333368,0.7895191007664695,0.5740391159591088,baseline
blenderproc_cogar_sim,deeplabv3plus,inference,cpu,1.937772328830377,516.056497000136,0.719802264279518,,baseline
ocid,sam_vit_h,point,cpu,0.02496874900014348,40050.06418200022,0.6646683849177094,0.4618769361482581,zero_shot
ocid,sam_vit_h,box,cpu,0.02504423805193561,39929.34414400012,0.8452409639470332,0.7329317485857256,zero_shot
ocid,sam_vit_h,automatic,cpu,0.005854234108228305,170816.53748600002,0.8382905606713064,0.3961026495928901,zero_shot
ocid,sam_vit_b,point,cpu,0.11969366092294265,8354.661327000334,0.6160080035250245,0.3927799430641681,zero_shot
ocid,sam_vit_b,box,cpu,0.11963511115473761,8358.750122333126,0.8339219829882085,0.7141484734574121,zero_shot
ocid,sam_vit_b,automatic,cpu,0.009429615212961165,106048.86598399935,0.7305978965807334,0.24102160492036337,zero_shot
ocid,sam2_hiera_large,point,cpu,0.08693353198769219,11503.041198666324,0.7585420059070903,0.612397057775292,zero_shot
ocid,sam2_hiera_large,box,cpu,0.0869315915754116,11503.297959666574,0.8659770273605177,0.7756979963789858,zero_shot
ocid,sam2_hiera_large,automatic,cpu,0.009452152395963618,105796.00900500009,0.7938377895836044,0.45985307308277434,zero_shot
ocid,fastsam_x,point,cpu,0.2552186316537025,3918.2092369998522,0.4848588969528927,0.20296410767763065,zero_shot
ocid,fastsam_x,box,cpu,0.25664449232873277,3896.4405233333914,0.7643104971739735,0.5378681346795664,zero_shot
ocid,fastsam_x,automatic,cpu,0.2549974120605216,3921.608427001047,0.7982308704892809,0.15604622409888733,zero_shot
ocid,yolo8_seg,inference,cpu,1.4280548270173272,700.2532263334919,0.8475484078632534,0.6605893027397538,baseline
ocid,mask_rcnn,inference,cpu,0.5505343983174028,1816.416927000925,0.8123703626805883,0.6619717416807416,baseline
ocid,deeplabv3plus,inference,cpu,1.9533698223504312,511.9358293335002,0.9632376367955024,,baseline
