run_type,dataset,model,prompt_mode,evaluation_type,category,iou,boundary_f1,count
zero_shot,blenderproc_cogar_sim,fastsam_x,automatic,automatic_class_agnostic_proposal,screw,0.7074287611061183,0.8232410522781108,674
zero_shot,blenderproc_cogar_sim,sam_vit_b,automatic,automatic_class_agnostic_proposal,cable,0.7088592932657819,0.7650101277538524,408
baseline,isaac_official_unitree_g1,yolo8_seg,inference,instance_segmentation,transparent_glass,0.7125010033913148,0.6616526486714458,237
zero_shot,blenderproc_cogar_sim,fastsam_x,automatic,automatic_class_agnostic_proposal,robot_gripper,0.7126139292655833,0.7391487725280875,1633
baseline,isaac_official_unitree_g1,deeplabv3plus,inference,semantic_segmentation,connector,0.71329830043081,0.7823626032315569,
zero_shot,isaac_official_unitree_g1,sam_vit_h,point,prompted_instance,metal_part,0.7144948877280031,0.8006900798647437,5660
baseline,blenderproc_cogar_sim,deeplabv3plus,inference,semantic_segmentation,tool,0.7154729304259961,0.42683945888328106,
zero_shot,blenderproc_cogar_sim,sam_vit_h,automatic,automatic_class_agnostic_proposal,screw,0.7179764571216601,0.7958058123064157,674
zero_shot,isaac_official_unitree_g1,sam_vit_h,automatic,automatic_class_agnostic_proposal,background_fixture,0.7185729756076644,0.7157344424289815,7980
zero_shot,isaac_official_unitree_g1,sam2_hiera_large,point,prompted_instance,metal_part,0.7202321756024934,0.8191230646293707,5660
zero_shot,isaac_official_unitree_g1,sam_vit_h,point,prompted_instance,sensor_module,0.7203128587562887,0.8163882875265479,1692
baseline,blenderproc_cogar_sim,yolo8_seg,inference,instance_segmentation,screw,0.7244242153372088,0.8621264240450501,19
zero_shot,isaac_official_unitree_g1,sam2_hiera_large,box,prompted_instance,rubber_part,0.7267813752752292,0.9244322837809477,1707
zero_shot,isaac_official_unitree_g1,sam_vit_b,point,prompted_instance,sensor_module,0.7279006295359485,0.8258442536866283,1692
zero_shot,blenderproc_cogar_sim,sam2_hiera_large,point,prompted_instance,robot_gripper,0.7280819470537473,0.7499598627983789,1633
zero_shot,ocid,sam_vit_b,automatic,automatic_class_agnostic_proposal,object,0.7305978965807334,0.6764823544850559,21487
zero_shot,isaac_official_unitree_g1,sam_vit_h,automatic,automatic_class_agnostic_proposal,workbench,0.7307882184267184,0.6533541013191828,2991
zero_shot,isaac_official_unitree_g1,sam2_hiera_large,point,prompted_instance,sensor_module,0.7368462623774102,0.8468409470501882,1692
baseline,blenderproc_cogar_sim,mask_rcnn,inference,instance_segmentation,metal_part,0.7372258032863788,0.7640890879091393,33
zero_shot,blenderproc_cogar_sim,sam_vit_b,automatic,automatic_class_agnostic_proposal,glass_object,0.7376838766802677,0.7408878305361352,634
baseline,blenderproc_cogar_sim,mask_rcnn,inference,instance_segmentation,tool,0.7381166202639007,0.7279509077707572,27
zero_shot,isaac_official_unitree_g1,sam_vit_b,box,prompted_instance,screw,0.7384166973176121,0.9589539810033907,7898
zero_shot,blenderproc_cogar_sim,sam_vit_b,point,prompted_instance,cable,0.7416453357702153,0.799481451795948,408
