row_index,file_name,object_id,image_path,gt_mask_path,point_x,point_y,sam_score,iou,boundary_f1,latency_sec,fps,mask_output_path,visualization_output_path,device,model_type
0,000000.png,3,data/cogar_sim_500/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500/instance_masks/all/ann_00000003_img_000000_cat_box.png,330.0,187.0,0.9828764796257019,0.9833907865872767,0.9950953486183859,0.16276779600002556,6.143721452122157,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_point_50/masks/row_0000_object_3_sam_point_mask.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_point_50/visualizations/row_0000_object_3_sam_point_visualization.png,cuda,vit_b
1,000000.png,4,data/cogar_sim_500/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500/instance_masks/all/ann_00000004_img_000000_cat_plastic_object.png,93.0,252.0,0.831983208656311,0.6918429003021148,0.694779787981139,0.013885261000268656,72.01881188842268,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_point_50/masks/row_0001_object_4_sam_point_mask.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_point_50/visualizations/row_0001_object_4_sam_point_visualization.png,cuda,vit_b
2,000000.png,5,data/cogar_sim_500/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500/instance_masks/all/ann_00000005_img_000000_cat_plastic_object.png,351.0,428.0,0.7605602145195007,0.9569288389513109,1.0,0.012525404999905732,79.83773778233328,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_point_50/masks/row_0002_object_5_sam_point_mask.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_point_50/visualizations/row_0002_object_5_sam_point_visualization.png,cuda,vit_b
3,000000.png,6,data/cogar_sim_500/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500/instance_masks/all/ann_00000006_img_000000_cat_metal_part.png,393.0,136.0,0.9472156763076782,0.9329529243937232,1.0,0.013427792000129557,74.47240767434822,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_point_50/masks/row_0003_object_6_sam_point_mask.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_point_50/visualizations/row_0003_object_6_sam_point_visualization.png,cuda,vit_b
4,000000.png,7,data/cogar_sim_500/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500/instance_masks/all/ann_00000007_img_000000_cat_box.png,141.0,453.0,0.9798895120620728,0.982498784637822,0.920075519194462,0.013293636000071274,75.22396430853368,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_point_50/masks/row_0004_object_7_sam_point_mask.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_point_50/visualizations/row_0004_object_7_sam_point_visualization.png,cuda,vit_b
5,000000.png,8,data/cogar_sim_500/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500/instance_masks/all/ann_00000008_img_000000_cat_tool.png,105.0,321.0,0.8524718880653381,0.9588405797101449,1.0,0.014124204999916401,70.80044505201666,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_point_50/masks/row_0005_object_8_sam_point_mask.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_point_50/visualizations/row_0005_object_8_sam_point_visualization.png,cuda,vit_b
6,000000.png,9,data/cogar_sim_500/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500/instance_masks/all/ann_00000009_img_000000_cat_metal_part.png,389.0,49.0,0.9056718349456787,0.905,1.0,0.013654488000156562,73.23599390826914,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_point_50/masks/row_0006_object_9_sam_point_mask.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_point_50/visualizations/row_0006_object_9_sam_point_visualization.png,cuda,vit_b
7,000000.png,10,data/cogar_sim_500/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500/instance_masks/all/ann_00000010_img_000000_cat_metal_part.png,437.0,199.0,0.8741311430931091,0.9354838709677419,0.931899641577061,0.013425858000118751,74.48313545332857,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_point_50/masks/row_0007_object_10_sam_point_mask.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_point_50/visualizations/row_0007_object_10_sam_point_visualization.png,cuda,vit_b
8,000000.png,11,data/cogar_sim_500/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500/instance_masks/all/ann_00000011_img_000000_cat_connector.png,175.0,153.0,0.9578342437744141,0.9298469387755102,0.9791611942912178,0.013720740000280784,72.88236640148678,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_point_50/masks/row_0008_object_11_sam_point_mask.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_point_50/visualizations/row_0008_object_11_sam_point_visualization.png,cuda,vit_b
9,000000.png,12,data/cogar_sim_500/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500/instance_masks/all/ann_00000012_img_000000_cat_box.png,458.0,0.0,0.9964855909347534,0.9873088443953965,0.9376476796572256,0.013862883999991027,72.13506222807948,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_point_50/masks/row_0009_object_12_sam_point_mask.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_point_50/visualizations/row_0009_object_12_sam_point_visualization.png,cuda,vit_b
